OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
41877,Hyde St&Pine St NW-NS/BZ,HYDEPIN0,HYDEPINE,5084,37.79017,-122.4173,0,PINE ST,HYDE ST,NS,NW,BZ,0,20230512124615,14812074,141,None,POINT (-122.4173 37.79017),16,16,6,3,21
41649,Larkin St&Golden Gate Ave NE-FS/BZ,LARKG G1,LARKG G,4847,37.781693,-122.417106,0,GOLDEN GATE AVE,LARKIN ST,FS,NE,BZ,1,20230512124615,14810859,141,None,POINT (-122.41711 37.781693),20,20,5,10,36
42522,General Managers Office NE-MB/SB,CONN GM1,CONN GMO,4122,37.753902,-122.397341,0,GENERAL MANAGERS OFFICE,CONNECTICUT ST,MB,NE,None,0,20230512124615,14816695,141,None,POINT (-122.39734 37.753902),54,54,2,9,26
41745,Mansell St&San Bruno Ave S-NS/PS,MANSSBR0,MANSSBRO,5349,37.721443,-122.401154,0,SAN BRUNO AVE,MANSELL ST,NS,SO,None,0,20230512124615,14811279,141,None,POINT (-122.40115 37.721443),91,91,9,9,25
43462,Van Ness Ave&Bay St NE-FS/BZ,V N BAY1,V N FNCO,6806,37.804287,-122.424996,0,BAY ST,VAN NESS AVE,FS,NE,BZ,0,20230512124615,14816036,141,None,POINT (-122.424995 37.804287),98,98,6,6,32
43322,Rhode Island St&20th St SW-FS/SB,R IS20S0,R IS20ST,6195,37.75943,-122.40218,0,20TH ST,RHODE ISLAND ST,FS,SW,None,0,20230512124615,14818963,141,None,POINT (-122.40218 37.75943),54,54,2,9,26
41896,Monterey Blvd&Edna St NE-NS/PS,MTRYEDN0,MTRYEDNA,5428,37.731633,-122.446474,0,EDNA ST,MONTEREY BLVD,NS,NE,None,0,20230512124615,14812126,141,None,POINT (-122.44647 37.731632),95,95,9,8,41
42116,Ortega St&48th Ave SW-NS/BZ,ORTG48A1,ORTG48AV,5828,37.750981,-122.507497,0,48TH AVE,ORTEGA ST,NS,SW,BZ,0,20230512124615,14812998,141,None,POINT (-122.5075 37.75098),39,39,10,7,35
43859,Potrero Ave & 19th St,POTR19S1,,7909,37.76074,-122.407019,,19TH ST,POTRERO AVE,,,BZ,,20230512124615,14819761,141,None,POINT (-122.40702 37.76074),54,54,3,9,20
41188,211 Corbett Ave N-MB/SB,CRBTH210,CRBTH211,4162,37.7618,-122.442841,0,CORBIN PL,CORBETT AVE,MB,NO,None,0,20230512124615,14809870,141,None,POINT (-122.44284 37.7618),115,115,7,5,5
43210,Persia Ave&Mission St S-FS/BZ,PERSMIS0,PERSMISS,5913,37.722941,-122.435765,0,MISSION ST,PERSIA AVE,FS,SO,None,1,20230512124615,14818858,141,None,POINT (-122.43577 37.722942),90,90,9,1,7
43829,South Van Ness & 24st. NS-SE/PS,SOVN24ST,None,7532,37.752275,-122.416167,0,24TH ST,SOUTH VAN NESS AVE,None,None,None,0,20230512124615,14819505,141,None,POINT (-122.41617 37.752274),53,53,3,2,20
41976,Mission St&20th St NE-FS/BZ,MISS20S1,MISS20ST,5557,37.75911,-122.41902,0,20TH ST,MISSION ST,FS,NE,BZ,1,20230512124615,14812367,141,None,POINT (-122.41902 37.75911),53,53,3,2,20
40715,16th St&Potrero Ave SW-NS/BZ,16STPOT0,16STPOTR,3296,37.765764,-122.407612,0,POTRERO AVE,16TH ST,NS,SW,BZ,1,20230512124615,14808428,141,None,POINT (-122.407616 37.765762),53,53,3,9,20
41681,Hyde St&Filbert St E-MI,HYDEFIL0,HYDEFILB,5069,37.800173,-122.419162,0,FILBERT ST,HYDE ST,MI,EA,None,0,20230512124615,14811140,141,None,POINT (-122.41916 37.800175),107,107,6,6,32
43066,Parnassus Ave&Willard St SW-NS/SB,PARNWLR1,PARNWLRD,5898,37.764236,-122.4543,0,WILLARD ST,PARNASSUS AVE,NS,SW,FL,0,20230512124615,14817216,141,None,POINT (-122.4543 37.764236),110,110,7,11,14
41130,California St&Hyde St NW-FS,CALIHYD0,CALIHYDE,3867,37.791018,-122.41756,0,HYDE ST,CALIFORNIA ST,FS,NW,None,0,20230512124615,14809410,141,None,POINT (-122.41756 37.79102),16,16,6,3,21
41840,Haight St&Masonic Ave NW-FS/BZ,HAITMSIC,HAITMSIC,4957,37.770232,-122.445476,0,ASHBURY ST,HAIGHT ST,FS,NW,BZ,0,20230512124615,14811463,141,None,POINT (-122.44547 37.770233),25,25,7,11,3
43664,Bayshore Blvd&Alemany Blvd NW-NS/SB,BSHRALE1,None,7313,37.738371,-122.407306,0,ALEMANY BLVD,BAYSHORE BLVD,None,None,None,0,20230512124615,14814686,141,None,POINT (-122.4073 37.738373),82,82,2,2,2
41026,Ashbury St&Clifford Ter E-FS/PS,ASHBCLI1,ASHBCLIF,3656,37.764281,-122.445946,0,CLIFFORD TER,ASHBURY ST,FS,EA,None,0,20230512124615,14808949,141,None,POINT (-122.445946 37.764282),112,112,7,5,3
41988,Kiska Rd&Ingalls St E-NS,KISKING0,KISKINGL,5242,37.731131,-122.379487,0,INGALLS ST,KISKA RD,NS,EA,FL,0,20230512124615,14812440,141,None,POINT (-122.379486 37.731133),78,78,2,9,1
42098,Market St&New Montgomery St NS/SI,MRKTNMG1,MRKTNMGY,5685,37.788613,-122.402163,4,NEW MONTGOMERY ST,MARKET ST,NS,SO,SI,0,20230512124615,14812931,141,None,POINT (-122.40216 37.788612),32,32,6,3,8
